File Name,File Type,Download URL
Vid_2060 - Genre.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2060 - Genre.mp4
Vid_2060 - Types of Adjectives.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2060 - Types of Adjectives.mp4
Vid_2061 - Proverbs.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2061 - Proverbs.mp4
Vid_2062 - Prepositions.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2062 - Prepositions.mp4
Vid_2063 - Prepositional Phrases.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2063 - Prepositional Phrases.mp4
Vid_2064 - Question words.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2064 - Question words.mp4
Vid_2065 - Idioms.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2065 - Idioms.mp4
Vid_2066 - Degrees of meaning(Word Cline).mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2066 - Degrees of meaning(Word Cline).mp4
Vid_2067 - Prefix.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2067 - Prefix.mp4
Vid_2068 - Suffix.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2068 - Suffix.mp4
Vid_2069 - Capitalization.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2069 - Capitalization.mp4
Vid_2070 - Comma.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2070 - Comma.mp4
Vid_2071 - Phrases.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2071 - Phrases.mp4
Vid_2072 - Punctuation marks.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2072 - Punctuation marks.mp4
Vid_2073 - Types of sentences.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2073 - Types of sentences.mp4
Vid_2074 - Syllabication.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2074 - Syllabication.mp4
Vid_2075 - Types of syllables.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2075 - Types of syllables.mp4
Vid_2076 - Gender.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2076 - Gender.mp4
Vid_2077 - Greetings.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2077 - Greetings.mp4
Vid_2078 - Initials.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2078 - Initials.mp4
Vid_2079 - The word 'I'.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2079 - The word 'I'.mp4
Vid_2080 - Adjective.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2080 - Adjective.mp4
Vid_2081 - Interjections.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2081 - Interjections.mp4
Vid_2082 - Oxymoron.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2082 - Oxymoron.mp4
Vid_2083 - Third person pronoun usage.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2083 - Third person pronoun usage.mp4
vid-2080-adjective_size reduced.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/vid-2080-adjective_size reduced.mp4
